adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0203,Binah,TG020309,Sola,9.9354245,1.32891529,110.64992863
TG0207,Kozah,TG020712,Somdina,9.639526,1.2706104,46.91911379
TG0103,Sotouboua,TG010308,Sotouboua,8.5575155,0.87444211,579.98169108
TG0201,Assoli,TG020106,Soudou,9.3568495,1.34651354,209.46292059
TG0103,Sotouboua,TG010309,Tabinde,8.5193585,1.13122986,192.42895753
TG0307,Yoto,TG030708,Tabligbo,6.5749365,1.48388925,40.59467215
TG0408,Moyen-Mono,TG040805,Tado,7.141002,1.56924741,180.43164662
TG0519,Oti-Sud,TG051907,Takpamba,9.9592285,0.58860186,237.91991285
TG0513,Kpendjal,TG051304,Tambigou,10.744621,0.775575,163.47124125
TG0518,Naki-Ouest,TG051807,Tambonga,10.939138,0.45331467,36.07859284
TG0516,Tone,TG051616,Tami,10.868631,0.04151518,74.56768839
TG0515,Tandjoare,TG051515,Tamongue,10.5101335,0.17201678,145.62593603
TG0515,Tandjoare,TG051516,Tampialime,10.752496,0.06671893,109.07977832
TG0105,Tchaoudjo,TG010511,Tchalo,8.967909,0.99545442,217.53714626
TG0101,Blitta,TG010114,Tchaloude,8.3156445,1.15149277,99.71995109
TG0104,Tchamba,TG010410,Tchamba,8.992314,1.45483781,285.42107839
TG0519,Oti-Sud,TG051908,Tchamonga,10.578473,0.74173067,297.50369016
TG0514,Oti,TG051408,Tchanaga,10.533447,0.50644495,266.75963726
TG0207,Kozah,TG020713,Tchare,9.660101,1.17870918,6.9887057
TG0101,Blitta,TG010115,Tchare-Baou,8.048226,1.0435529,167.29570238
TG0103,Sotouboua,TG010310,Tchebebe,8.4313135,0.83496763,425.34907119
TG0307,Yoto,TG030709,Tchekpo,6.522515,1.37781262,171.68654892
TG0101,Blitta,TG010116,Tchifama,8.1765545,0.81582476,66.08988293
TG0207,Kozah,TG020714,Tchitchao,9.5982255,1.09325674,60.56175245
TG0205,Doufelgou,TG020513,Tchore,9.844297,0.94206765,89.46722407
TG0401,Amou,TG040114,Temedja,7.463156,1.067738,82.67910836
TG0205,Doufelgou,TG020514,Tenega,9.8343735,1.14312861,19.47327144
TG0517,Cinkasse,TG051708,Timbou,11.0348575,0.11192466,77.59289448
TG0102,Plaine du Mo,TG010205,Tindjassi,8.6576895,0.51378521,304.59722145
TG0101,Blitta,TG010117,Tintchro,8.0450105,0.77147694,285.94939215
TG0103,Sotouboua,TG010311,Titigbe,8.5970955,1.09396735,135.50177375
TG0516,Tone,TG051617,Toaga,10.890121,0.24742628,41.06436571
TG0309,Agoe-Nyive,TG030904,Togblekope,6.26304126,1.21844702,26.0838672
TG0306,Vo,TG030608,Togoville,6.2559935,1.46966189,77.2915368
